team_id,name,abbr,nickname,logo_file_name,city_id,park_id,league_id,sub_league_id,division_id,nation_id,parent_team_id,level,prevent_any_moves,human_team,human_id,gender,background_color_id,text_color_id,ballcaps_main_color_id,ballcaps_visor_color_id,jersey_main_color_id,jersey_away_color_id,jersey_secondary_color_id,jersey_pin_stripes_color_id,allstar_team,historical_id
190,"Richmond","RCH","Flying Squirrels","richmond_flying_squirrels.png",64151,114,103,0,0,206,55,3,0,0,0,0,"#BA0C2F","#A7A8AA","#BA0C2F","#A7A8AA","#BA0C2F","#BA0C2F","#A7A8AA","#A7A8AA",0,""
191,"Portland","POR","Sea Dogs","portland_sea_dogs.png",60507,115,103,0,0,206,34,3,0,0,0,0,"#C8102E","#F1B434","#C8102E","#F1B434","#C8102E","#C8102E","#F1B434","#F1B434",0,""
192,"Trenton","TRE","Thunder","trenton_thunder.png",81062,116,103,0,0,206,48,3,0,0,0,0,"#FFB81C","#003DA5","#FFB81C","#003DA5","#FFB81C","#FFB81C","#003DA5","#003DA5",0,""
193,"Akron","AKR","RubberDucks","akron_rubberducks.png",849,117,103,0,1,206,38,3,0,0,0,0,"#0072CE","#FFD100","#0072CE","#FFD100","#0072CE","#0072CE","#FFD100","#FFD100",0,""
194,"Altoona","ALT","Curve","altoona_curve.png",2406,118,103,0,1,206,52,3,0,0,0,0,"#A4343A","#9E652E","#A4343A","#9E652E","#A4343A","#A4343A","#9E652E","#9E652E",0,""
195,"Bowie","BOW","Baysox","bowie_baysox.png",11164,119,103,0,1,206,33,3,0,0,0,0,"#FC4C02","#2D2926","#FC4C02","#2D2926","#FC4C02","#FC4C02","#2D2926","#2D2926",0,""
196,"Erie","ERI","SeaWolves","erie_seawolves.png",23889,120,103,0,1,206,40,3,0,0,0,0,"#BA0C2F","#2D2926","#BA0C2F","#2D2926","#BA0C2F","#BA0C2F","#2D2926","#2D2926",0,""
197,"Harrisburg","HAR","Senators","harrisburg_senators.png",30756,121,103,0,1,206,60,3,0,0,0,0,"#B3A369","#BA0C2F","#B3A369","#BA0C2F","#B3A369","#B3A369","#BA0C2F","#BA0C2F",0,""
198,"Reading","REA","Fightin Phils","reading_fightin_phils.png",65266,122,103,0,1,206,51,3,0,0,0,0,"#041E42","#FFFFFF","#041E42","#FFFFFF","#041E42","#041E42","#FFFFFF","#FFFFFF",0,""
199,"Jacksonville","JAX","Suns","jacksonville_suns.png",34776,123,104,0,1,206,41,3,0,0,0,0,"#FFC72C","#2D2926","#FFC72C","#2D2926","#FFC72C","#FFC72C","#2D2926","#2D2926",0,""
200,"Pensacola","PEN","Blue Wahoos","pensacola_blue_wahoos.png",63622,124,104,0,0,206,37,3,0,0,0,0,"#041E42","#CE0058","#041E42","#CE0058","#041E42","#041E42","#CE0058","#CE0058",0,""
201,"Biloxi","BIL","Shuckers","biloxi_shuckers.png",9528,125,104,0,0,206,46,3,0,0,0,0,"#003DA5","#9EA2A2","#003DA5","#9EA2A2","#003DA5","#003DA5","#9EA2A2","#9EA2A2",0,""
202,"Tennessee","TEN","Smokies","tennessee_smokies.png",39092,126,104,0,0,206,36,3,0,0,0,0,"#7DA1C4","#C6AA76","#7DA1C4","#C6AA76","#7DA1C4","#7DA1C4","#C6AA76","#C6AA76",0,""
203,"Jackson","JAC","Generals","jackson_generals.png",34758,127,104,0,0,206,54,3,0,0,0,0,"#2D2926","#FFFFFF","#2D2926","#FFFFFF","#2D2926","#2D2926","#FFFFFF","#FFFFFF",0,""
204,"Birmingham","BIR","Barons","birmingham_barons.png",9691,128,104,0,1,206,35,3,0,0,0,0,"#BF0D3E","#FFFFFF","#BF0D3E","#FFFFFF","#BF0D3E","#BF0D3E","#FFFFFF","#FFFFFF",0,""
205,"Mississippi","MIS","Braves","mississippi_braves.png",63362,129,104,0,1,206,32,3,0,0,0,0,"#BA0C2F","#EAAA00","#BA0C2F","#EAAA00","#BA0C2F","#BA0C2F","#EAAA00","#EAAA00",0,""
206,"Mobile","MOB","BayBears","mobile_baybears.png",50908,130,104,0,1,206,31,3,0,0,0,0,"#DFD1A7","#0C2340","#DFD1A7","#0C2340","#DFD1A7","#DFD1A7","#0C2340","#0C2340",0,""
207,"Montgomery","MON","Biscuits","montgomery_biscuits.png",51547,131,104,0,1,206,57,3,0,0,0,0,"#EAAA00","#13294B","#EAAA00","#13294B","#EAAA00","#EAAA00","#13294B","#13294B",0,""
208,"Chattanooga","CHT","Lookouts","chattanooga_lookouts.png",19029,132,104,0,0,206,47,3,0,0,0,0,"#002F6C","#E4002B","#002F6C","#E4002B","#002F6C","#002F6C","#E4002B","#E4002B",0,""
209,"Arkansas","ARK","Travelers","arkansas_travelers.png",56158,133,105,0,0,206,44,3,0,0,0,0,"#BA0C2F","#C1C6C8","#BA0C2F","#C1C6C8","#BA0C2F","#BA0C2F","#C1C6C8","#C1C6C8",0,""
210,"Springfield","SPF","Cardinals","springfield_cardinals.png",75711,134,105,0,0,206,56,3,0,0,0,0,"#BA0C2F","#FEDB00","#BA0C2F","#FEDB00","#BA0C2F","#BA0C2F","#FEDB00","#FEDB00",0,""
211,"Tulsa","TUL","Drillers","tulsa_drillers.png",81568,135,105,0,0,206,45,3,0,0,0,0,"#707372","#24135F","#707372","#24135F","#707372","#707372","#24135F","#24135F",0,""
212,"Northwest Arkansas","NWA","Naturals","northwest_arkansas_naturals.png",75698,136,105,0,0,206,43,3,0,0,0,0,"#8A1538","#C69214","#8A1538","#C69214","#8A1538","#8A1538","#C69214","#C69214",0,""
213,"Frisco","FRI","RoughRiders","frisco_roughriders.png",24713,137,105,0,1,206,58,3,0,0,0,0,"#C8102E","#C1C6C8","#C8102E","#C1C6C8","#C8102E","#C8102E","#C1C6C8","#C1C6C8",0,""
214,"Midland","MID","RockHounds","midland_rockhounds.png",50143,138,105,0,1,206,50,3,0,0,0,0,"#E57200","#004C97","#E57200","#004C97","#E57200","#E57200","#004C97","#004C97",0,""
215,"San Antonio","SAN","Missions","san_antonio_missions.png",69776,139,105,0,1,206,53,3,0,0,0,0,"#84754E","#2D2926","#84754E","#2D2926","#84754E","#84754E","#2D2926","#2D2926",0,""
216,"Corpus Christi","CC","Hooks","corpus_christi_hooks.png",15185,140,105,0,1,206,42,3,0,0,0,0,"#0C2340","#418FDE","#0C2340","#418FDE","#0C2340","#0C2340","#418FDE","#418FDE",0,""
217,"Bakersfield","BAK","Blaze","bakersfield_blaze.png",6327,141,106,0,0,206,54,4,0,0,0,0,"#EA7600","#FFFFFF","#EA7600","#FFFFFF","#EA7600","#EA7600","#FFFFFF","#FFFFFF",0,""
218,"Modesto","MOD","Nuts","modesto_nuts.png",50945,142,106,0,0,206,39,4,0,0,0,0,"#9D2235","#9E652E","#9D2235","#9E652E","#9D2235","#9D2235","#9E652E","#9E652E",0,""
219,"San Jose","SJO","Giants","san_jose_giants.png",70210,143,106,0,0,206,55,4,0,0,0,0,"#FA4616","#2D2926","#FA4616","#2D2926","#FA4616","#FA4616","#2D2926","#2D2926",0,""
220,"Stockton","STO","Ports","stockton_ports.png",76303,144,106,0,0,206,50,4,0,0,0,0,"#171C8F","#C8102E","#171C8F","#C8102E","#171C8F","#171C8F","#C8102E","#C8102E",0,""
221,"Visalia","VIS","Rawhide","visalia_rawhide.png",82987,145,106,0,0,206,31,4,0,0,0,0,"#B9975B","#2D2926","#B9975B","#2D2926","#B9975B","#B9975B","#2D2926","#2D2926",0,""
222,"High Desert","HIG","Mavericks","high_desert_mavericks.png",2256,146,106,0,1,206,58,4,0,0,0,0,"#E4002B","#DDCBA4","#E4002B","#DDCBA4","#E4002B","#E4002B","#DDCBA4","#DDCBA4",0,""
223,"Inland Empire","INL","66ers","inland_empire_66ers.png",69824,147,106,0,1,206,44,4,0,0,0,0,"#5E5C59","#FA4616","#5E5C59","#FA4616","#5E5C59","#5E5C59","#FA4616","#FA4616",0,""
224,"Lake Elsinore","LAK","Storm","lake_elsinore_storm.png",43203,148,106,0,1,206,53,4,0,0,0,0,"#2D2926","#E4002B","#2D2926","#E4002B","#2D2926","#2D2926","#E4002B","#E4002B",0,""
225,"Salem","SAL","Red Sox","salem_red_sox.png",69395,149,107,0,1,206,34,4,0,0,0,0,"#C8102E","#BBC7D6","#C8102E","#BBC7D6","#C8102E","#C8102E","#BBC7D6","#BBC7D6",0,""
226,"Rancho Cucamonga","RAN","Quakes","rancho_cucamonga_quakes.png",64993,150,106,0,1,206,45,4,0,0,0,0,"#B9975B","#002D72","#B9975B","#002D72","#B9975B","#B9975B","#002D72","#002D72",0,""
227,"Frederick","FRE","Keys","frederick_keys.png",24887,151,107,0,0,206,33,4,0,0,0,0,"#FC4C02","#2D2926","#FC4C02","#2D2926","#FC4C02","#FC4C02","#2D2926","#2D2926",0,""
228,"Bradenton","BRA","Marauders","bradenton_marauders.png",11283,152,108,0,1,206,52,4,0,0,0,0,"#FFC72C","#2D2926","#FFC72C","#2D2926","#FFC72C","#FFC72C","#2D2926","#2D2926",0,""
229,"Potomac","POT","Nationals","potomac_nationals.png",86616,153,107,0,0,206,60,4,0,0,0,0,"#041E42","#BA0C2F","#041E42","#BA0C2F","#041E42","#041E42","#BA0C2F","#BA0C2F",0,""
230,"Wilmington","WIL","Blue Rocks","wilmington_blue_rocks.png",87008,154,107,0,0,206,43,4,0,0,0,0,"#8BB8E8","#041E42","#8BB8E8","#041E42","#8BB8E8","#8BB8E8","#041E42","#041E42",0,""
231,"Carolina","CAR","Mudcats","carolina_mudcats.png",89559,155,107,0,1,206,32,4,0,0,0,0,"#E4002B","#898D8D","#E4002B","#898D8D","#E4002B","#E4002B","#898D8D","#898D8D",0,""
232,"Myrtle Beach","MYR","Pelicans","myrtle_beach_pelicans.png",52862,156,107,0,1,206,36,4,0,0,0,0,"#0072CE","#FFC72C","#0072CE","#FFC72C","#0072CE","#0072CE","#FFC72C","#FFC72C",0,""
233,"Lancaster","LAN","JetHawks","lancaster_jethawks.png",43525,157,106,0,1,206,42,4,0,0,0,0,"#9D2235","#B9975B","#9D2235","#B9975B","#9D2235","#9D2235","#B9975B","#B9975B",0,""
234,"Winston-Salem","WS","Dash","winston-salem_dash.png",86841,158,107,0,1,206,35,4,0,0,0,0,"#5C068C","#FFFFFF","#5C068C","#FFFFFF","#5C068C","#5C068C","#FFFFFF","#FFFFFF",0,""
235,"Brevard County","BRE","Manatees","brevard_county_manatees.png",49487,159,108,0,0,206,46,4,0,0,0,0,"#041E42","#968C83","#041E42","#968C83","#041E42","#041E42","#968C83","#968C83",0,""
236,"Daytona","DYA","Tortugas","daytona_tortugas.png",22245,160,108,0,0,206,37,4,0,0,0,0,"#004E42","#8BB8E8","#004E42","#8BB8E8","#004E42","#004E42","#8BB8E8","#8BB8E8",0,""
237,"Jupiter","JUP","Hammerheads","jupiter_hammerheads.png",35822,161,108,0,1,206,41,4,0,0,0,0,"#009CA6","#7C878E","#009CA6","#7C878E","#009CA6","#009CA6","#7C878E","#7C878E",0,""
238,"Palm Beach","PAL","Cardinals","palm_beach_cardinals.png",35822,161,108,0,1,206,56,4,0,0,0,0,"#BA0C2F","#FFFFFF","#BA0C2F","#FFFFFF","#BA0C2F","#BA0C2F","#FFFFFF","#FFFFFF",0,""
239,"St. Lucie","SLC","Mets","st_lucie_mets.png",60444,162,108,0,1,206,49,4,0,0,0,0,"#FC4C02","#002D72","#FC4C02","#002D72","#FC4C02","#FC4C02","#002D72","#002D72",0,""
240,"Charlotte","CHR","Stone Crabs","charlotte_stone_crabs.png",60385,163,108,0,1,206,57,4,0,0,0,0,"#69B3E7","#FFFFFF","#69B3E7","#FFFFFF","#69B3E7","#69B3E7","#FFFFFF","#FFFFFF",0,""
241,"Clearwater","CLE","Threshers","clearwater_threshers.png",14038,164,108,0,0,206,51,4,0,0,0,0,"#BA0C2F","#236192","#BA0C2F","#236192","#BA0C2F","#BA0C2F","#236192","#236192",0,""
